lng,lat,人均价格,星级,口味,环境,服务
121.390882,31.17643,18,3.5,3.6,3.5,3.5
121.402485999999,31.1611219999999,12,3.7,3.7,3.6,3.7
121.409216999999,31.1439489999999,23,3.7,3.8,3.8,3.8
121.46629,31.206947,17,3.6,3.6,3.6,3.7
121.395923999999,31.1584709999999,7,3.9,3.9,3.7,3.8
121.390839,31.176597,21,3.7,3.7,3.6,3.6
121.452562999999,31.216083,23,3.6,3.8,3.5,3.7
121.396432,31.1725719999999,19,3.5,3.5,3.4,3.4
121.457479,31.2047309999999,9,3.7,3.7,3.6,3.8
121.443388999999,31.123625,93,3.5,3.6,3.5,3.6
121.451659,31.2171179999999,26,3.8,3.7,3.8,3.8
121.402009,31.1608449999999,21,3.5,3.5,3.5,3.5
121.40183,31.17454,26,3.7,3.8,3.8,3.9
121.393918999999,31.1663819999999,22,3.8,3.8,3.8,3.8
121.415457,31.130554,28,3.7,3.7,3.7,3.7
